trade_id,pair,session_id,direction,bars_since_entry,z_score,spread,sigma_rolling
1,ZC_ZW,20230822,LONG,105,-4.888220,-0.00282448,0.00069665
1,ZC_ZW,20230822,LONG,106,-4.775304,-0.00333346,0.00081971
1,ZC_ZW,20230822,LONG,107,-4.204779,-0.00333346,0.00093093
1,ZC_ZW,20230822,LONG,108,-3.664312,-0.00305589,0.00099249
1,ZC_ZW,20230822,LONG,109,-3.338406,-0.00287099,0.00103399
1,ZC_ZW,20230822,LONG,110,-4.011970,-0.00388718,0.00111369
1,ZC_ZW,20230822,LONG,111,-2.605193,-0.00213356,0.00104194
1,ZC_ZW,20230822,LONG,112,-2.126653,-0.00153506,0.00099497
1,ZC_ZW,20230822,LONG,113,-2.967775,-0.00231728,0.00097655
1,ZC_ZW,20230822,LONG,114,-0.993998,-0.00043318,0.00102020
1,ZC_ZW,20230822,LONG,115,-0.285521,0.00025677,0.00113520
1,ZC_ZW,20230822,LONG,116,-1.057916,-0.00061657,0.00113191
2,ZC_ZW,20230823,SHORT,0,1.931247,0.00174593,0.00070847
2,ZC_ZW,20230823,SHORT,1,2.056511,0.00192863,0.00075416
2,ZC_ZW,20230823,SHORT,2,2.077827,0.00201828,0.00078957
2,ZC_ZW,20230823,SHORT,3,1.442013,0.00151467,0.00078847
2,ZC_ZW,20230823,SHORT,4,1.436526,0.00151467,0.00079148
2,ZC_ZW,20230823,SHORT,5,0.868054,0.00105766,0.00078332
2,ZC_ZW,20230823,SHORT,6,0.998776,0.00110340,0.00072660
2,ZC_ZW,20230823,SHORT,7,0.447573,0.00069197,0.00070217
2,ZC_ZW,20230823,SHORT,8,1.212976,0.00110340,0.00059829
2,ZC_ZW,20230823,SHORT,9,-0.160841,0.00028036,0.00060515
2,ZC_ZW,20230823,SHORT,10,-0.831791,-0.00017666,0.00066645
2,ZC_ZW,20230823,SHORT,11,0.431519,0.00064639,0.00062268
2,ZC_ZW,20230823,SHORT,12,0.500867,0.00069197,0.00062746
2,ZC_ZW,20230823,SHORT,13,2.077424,0.00169723,0.00063518
2,ZC_ZW,20230823,SHORT,14,2.047548,0.00169723,0.00064445
2,ZC_ZW,20230823,SHORT,15,1.933633,0.00160545,0.00063495
2,ZC_ZW,20230823,SHORT,16,3.005858,0.00242647,0.00068160
2,ZC_ZW,20230823,SHORT,17,1.981065,0.00169723,0.00066608
2,ZC_ZW,20230823,SHORT,18,3.061077,0.00256532,0.00071466
2,ZC_ZW,20230823,SHORT,19,1.641091,0.00151467,0.00069282
2,ZC_ZW,20230823,SHORT,20,1.908227,0.00169723,0.00069150
2,ZC_ZW,20230823,SHORT,21,2.527471,0.00215438,0.00070295
2,ZC_ZW,20230823,SHORT,22,2.960188,0.00256532,0.00073902
2,ZC_ZW,20230823,SHORT,23,2.069724,0.00192577,0.00074796
2,ZC_ZW,20230823,SHORT,24,2.374175,0.00220072,0.00076786
2,ZC_ZW,20230823,SHORT,25,3.239063,0.00311644,0.00084554
2,ZC_ZW,20230823,SHORT,26,2.909147,0.00298126,0.00089496
2,ZC_ZW,20230823,SHORT,27,2.424041,0.00252284,0.00088495
2,ZC_ZW,20230823,SHORT,28,2.597132,0.00270517,0.00089617
2,ZC_ZW,20230823,SHORT,29,2.776593,0.00270517,0.00083825
2,ZC_ZW,20230823,SHORT,30,3.886284,0.00316345,0.00071682
2,ZC_ZW,20230823,SHORT,31,4.602642,0.00362202,0.00070488
2,ZC_ZW,20230823,SHORT,32,4.680207,0.00339270,0.00064420
2,ZC_ZW,20230823,SHORT,33,4.751132,0.00357472,0.00067290
2,ZC_ZW,20230823,SHORT,34,4.210865,0.00316345,0.00066156
2,ZC_ZW,20230823,SHORT,35,5.268649,0.00408086,0.00070287
2,ZC_ZW,20230823,SHORT,36,4.492166,0.00366942,0.00073277
2,ZC_ZW,20230823,SHORT,37,4.350250,0.00343997,0.00070393
2,ZC_ZW,20230823,SHORT,38,5.027038,0.00422428,0.00076518
2,ZC_ZW,20230823,SHORT,39,4.232844,0.00331334,0.00069354
2,ZC_ZW,20230823,SHORT,40,3.973932,0.00285293,0.00062287
2,ZC_ZW,20230823,SHORT,41,5.082199,0.00336123,0.00058706
2,ZC_ZW,20230823,SHORT,42,4.205364,0.00280543,0.00057730
2,ZC_ZW,20230823,SHORT,43,2.900258,0.00202198,0.00056694
2,ZC_ZW,20230823,SHORT,44,3.856644,0.00248111,0.00054540
2,ZC_ZW,20230823,SHORT,45,5.207098,0.00321789,0.00054545
2,ZC_ZW,20230823,SHORT,46,2.930790,0.00211578,0.00059304
2,ZC_ZW,20230823,SHORT,47,2.531421,0.00198001,0.00063297
2,ZC_ZW,20230823,SHORT,48,3.445797,0.00257548,0.00063782
2,ZC_ZW,20230823,SHORT,49,3.904210,0.00285293,0.00063399
2,ZC_ZW,20230823,SHORT,50,4.476868,0.00321789,0.00063442
2,ZC_ZW,20230823,SHORT,51,4.557516,0.00321789,0.00062319
2,ZC_ZW,20230823,SHORT,52,5.148728,0.00363017,0.00063171
2,ZC_ZW,20230823,SHORT,53,5.388413,0.00386020,0.00064630
2,ZC_ZW,20230823,SHORT,54,4.951331,0.00363017,0.00065689
2,ZC_ZW,20230823,SHORT,55,4.304492,0.00303546,0.00061744
2,ZC_ZW,20230823,SHORT,56,3.688329,0.00262283,0.00060871
2,ZC_ZW,20230823,SHORT,57,4.030564,0.00280543,0.00060233
2,ZC_ZW,20230823,SHORT,58,4.593863,0.00280543,0.00052847
2,ZC_ZW,20230823,SHORT,59,3.978823,0.00248111,0.00052865
2,ZC_ZW,20230823,SHORT,60,2.923942,0.00202198,0.00056235
2,ZC_ZW,20230823,SHORT,61,3.427442,0.00229849,0.00056042
2,ZC_ZW,20230823,SHORT,62,5.114023,0.00330517,0.00057244
2,ZC_ZW,20230823,SHORT,63,4.643474,0.00289322,0.00054173
2,ZC_ZW,20230823,SHORT,64,4.616588,0.00284604,0.00053467
2,ZC_ZW,20230823,SHORT,65,5.562512,0.00339270,0.00054202
2,ZC_ZW,20230823,SHORT,66,5.252897,0.00306954,0.00051245
2,ZC_ZW,20230823,SHORT,67,6.961872,0.00389123,0.00050468
2,ZC_ZW,20230823,SHORT,68,6.409667,0.00366234,0.00051245
2,ZC_ZW,20230823,SHORT,69,6.910115,0.00462600,0.00061480
2,ZC_ZW,20230823,SHORT,70,5.965205,0.00439675,0.00067375
2,ZC_ZW,20230823,SHORT,71,5.746578,0.00467377,0.00074759
2,ZC_ZW,20230823,SHORT,72,5.490832,0.00494121,0.00083112
2,ZC_ZW,20230823,SHORT,73,5.344539,0.00544735,0.00094857
2,ZC_ZW,20230823,SHORT,74,4.279510,0.00457834,0.00098157
2,ZC_ZW,20230823,SHORT,75,3.841252,0.00416757,0.00098663
2,ZC_ZW,20230823,SHORT,76,4.956722,0.00567667,0.00106905
2,ZC_ZW,20230823,SHORT,77,3.481117,0.00403328,0.00105012
2,ZC_ZW,20230823,SHORT,78,3.797526,0.00429475,0.00103148
2,ZC_ZW,20230823,SHORT,79,4.949078,0.00557049,0.00104924
2,ZC_ZW,20230823,SHORT,80,5.475020,0.00607538,0.00104067
2,ZC_ZW,20230823,SHORT,81,4.409182,0.00453079,0.00094192
2,ZC_ZW,20230823,SHORT,82,4.598495,0.00457834,0.00091348
2,ZC_ZW,20230823,SHORT,83,6.053231,0.00582177,0.00089937
2,ZC_ZW,20230823,SHORT,84,6.687209,0.00646252,0.00090992
2,ZC_ZW,20230823,SHORT,85,6.447420,0.00636505,0.00092864
2,ZC_ZW,20230823,SHORT,86,6.777362,0.00644888,0.00089580
2,ZC_ZW,20230823,SHORT,87,6.764067,0.00662962,0.00092429
2,ZC_ZW,20230823,SHORT,88,6.643966,0.00626803,0.00088657
2,ZC_ZW,20230823,SHORT,89,5.598263,0.00526608,0.00087320
2,ZC_ZW,20230823,SHORT,90,4.202884,0.00412020,0.00089046
2,ZC_ZW,20230823,SHORT,91,2.479061,0.00292952,0.00102935
2,ZC_ZW,20230823,SHORT,92,4.227485,0.00474463,0.00103299
2,ZC_ZW,20230823,SHORT,93,2.961472,0.00360646,0.00109026
2,ZC_ZW,20230823,SHORT,94,3.749278,0.00447607,0.00109311
2,ZC_ZW,20230823,SHORT,95,4.110685,0.00479147,0.00107373
2,ZC_ZW,20230823,SHORT,96,3.616184,0.00428916,0.00108165
2,ZC_ZW,20230823,SHORT,97,3.113423,0.00378779,0.00109529
2,ZC_ZW,20230823,SHORT,98,4.497725,0.00524045,0.00108116
2,ZC_ZW,20230823,SHORT,99,4.601992,0.00533419,0.00107703
2,ZC_ZW,20230823,SHORT,100,4.097335,0.00469790,0.00105440
2,ZC_ZW,20230823,SHORT,101,2.261733,0.00297012,0.00114622
2,ZC_ZW,20230823,SHORT,102,2.907851,0.00378779,0.00117272
